lead_time,stockout_multiplier,policy,realised_sl_pct,safety_stock,holding_cost,ordering_cost,stockout_cost,total_cost,service_level,service_level_label
7,0.4,CLASSICAL,100.0,3771.8,60688.35,331.82,0.0,61020.17,0.95,95%
7,0.4,ML_GAUSSIAN,100.0,3732.9,60678.33,331.82,0.0,61010.15,0.95,95%
7,0.4,ML_EMP_QUANTILE,100.0,5133.5,61492.81,331.82,0.0,61824.63,0.95,95%
7,1.0,CLASSICAL,100.0,3771.8,60688.35,331.82,0.0,61020.17,0.95,95%
7,1.0,ML_GAUSSIAN,100.0,3732.9,60678.33,331.82,0.0,61010.15,0.95,95%
7,1.0,ML_EMP_QUANTILE,100.0,5133.5,61492.81,331.82,0.0,61824.63,0.95,95%
7,2.0,CLASSICAL,100.0,3771.8,60688.35,331.82,0.0,61020.17,0.95,95%
7,2.0,ML_GAUSSIAN,100.0,3732.9,60678.33,331.82,0.0,61010.15,0.95,95%
7,2.0,ML_EMP_QUANTILE,100.0,5133.5,61492.81,331.82,0.0,61824.63,0.95,95%
10,0.4,CLASSICAL,100.0,4156.4,61793.03,331.82,0.0,62124.85,0.95,95%
10,0.4,ML_GAUSSIAN,100.0,4113.5,61781.99,331.82,0.0,62113.81,0.95,95%
10,0.4,ML_EMP_QUANTILE,100.0,5656.8,62679.5,331.82,0.0,63011.31,0.95,95%
10,1.0,CLASSICAL,100.0,4156.4,61793.03,331.82,0.0,62124.85,0.95,95%
10,1.0,ML_GAUSSIAN,100.0,4113.5,61781.99,331.82,0.0,62113.81,0.95,95%
10,1.0,ML_EMP_QUANTILE,100.0,5656.8,62679.5,331.82,0.0,63011.31,0.95,95%
10,2.0,CLASSICAL,100.0,4156.4,61793.03,331.82,0.0,62124.85,0.95,95%
10,2.0,ML_GAUSSIAN,100.0,4113.5,61781.99,331.82,0.0,62113.81,0.95,95%
10,2.0,ML_EMP_QUANTILE,100.0,5656.8,62679.5,331.82,0.0,63011.31,0.95,95%
14,0.4,CLASSICAL,100.0,4619.5,63255.68,331.82,0.0,63587.5,0.95,95%
14,0.4,ML_GAUSSIAN,100.0,4571.9,63243.4,331.82,0.0,63575.22,0.95,95%
14,0.4,ML_EMP_QUANTILE,100.0,6287.2,64240.93,331.82,0.0,64572.75,0.95,95%
14,1.0,CLASSICAL,100.0,4619.5,63255.68,331.82,0.0,63587.5,0.95,95%
14,1.0,ML_GAUSSIAN,100.0,4571.9,63243.4,331.82,0.0,63575.22,0.95,95%
14,1.0,ML_EMP_QUANTILE,100.0,6287.2,64240.93,331.82,0.0,64572.75,0.95,95%
14,2.0,CLASSICAL,100.0,4619.5,63255.68,331.82,0.0,63587.5,0.95,95%
14,2.0,ML_GAUSSIAN,100.0,4571.9,63243.4,331.82,0.0,63575.22,0.95,95%
14,2.0,ML_EMP_QUANTILE,100.0,6287.2,64240.93,331.82,0.0,64572.75,0.95,95%
21,0.4,CLASSICAL,100.0,5334.2,65851.75,331.82,0.0,66183.56,0.95,95%
21,0.4,ML_GAUSSIAN,100.0,5279.2,65837.57,331.82,0.0,66169.39,0.95,95%
21,0.4,ML_EMP_QUANTILE,100.0,7259.8,66989.41,331.82,0.0,67321.23,0.95,95%
21,1.0,CLASSICAL,100.0,5334.2,65851.75,331.82,0.0,66183.56,0.95,95%
21,1.0,ML_GAUSSIAN,100.0,5279.2,65837.57,331.82,0.0,66169.39,0.95,95%
21,1.0,ML_EMP_QUANTILE,100.0,7259.8,66989.41,331.82,0.0,67321.23,0.95,95%
21,2.0,CLASSICAL,100.0,5334.2,65851.75,331.82,0.0,66183.56,0.95,95%
21,2.0,ML_GAUSSIAN,100.0,5279.2,65837.57,331.82,0.0,66169.39,0.95,95%
21,2.0,ML_EMP_QUANTILE,100.0,7259.8,66989.41,331.82,0.0,67321.23,0.95,95%
